rho,round,n,mean_accuracy_mean,mean_accuracy_se,mean_fitness_mean,mean_fitness_se,pass_at_4_mean,pass_at_4_se,distinct_fraction_mean,distinct_fraction_se,effective_answers_mean,effective_answers_se,invalid_fraction_mean,invalid_fraction_se,regressions,recoveries,fitness_regressions,fitness_improvements
-6.0,0,8,0.0,0.0,0.10378787878787879,0.05093802034905469,0.0,0.0,0.875,0.0668153104781061,3.3666666666666667,0.33022358947782493,0.03125,0.03125,0.0,0.0,0.0,0.0
-6.0,1,8,0.0,0.0,0.07096354166666667,0.05437105066704744,0.0,0.0,0.59375,0.08097480869293328,2.1416666666666666,0.33296110168921417,0.0,0.0,0.0,0.0,4.0,3.0
-6.0,2,8,0.0,0.0,0.05416666666666667,0.05416666666666667,0.0,0.0,0.5625,0.07834789631600109,2.0583333333333336,0.324511231982099,0.0,0.0,0.0,0.0,6.0,0.0
-6.0,3,8,0.0,0.0,0.06354166666666666,0.05321828877294567,0.0,0.0,0.46875,0.08759561102834189,1.775,0.35140026018365844,0.0,0.0,0.0,0.0,4.0,2.0
-6.0,4,8,0.0,0.0,0.008203124999999999,0.005569464816035159,0.0,0.0,0.65625,0.08097480869293328,2.408333333333333,0.31633754826837174,0.0,0.0,0.0,0.0,7.0,0.0
-6.0,5,8,0.0,0.0,0.0661813446969697,0.03366266275434805,0.0,0.0,0.5,0.0472455591261534,1.7583333333333333,0.1699381306651578,0.0,0.0,0.0,0.0,3.0,1.0
-6.0,6,8,0.0,0.0,0.04166666666666667,0.038220589896853924,0.0,0.0,0.5625,0.0625,2.025,0.21746647251166476,0.0,0.0,0.0,0.0,6.0,0.0
0.0,0,8,0.0,0.0,0.10378787878787879,0.05093802034905469,0.0,0.0,0.875,0.0668153104781061,3.3666666666666667,0.33022358947782493,0.03125,0.03125,0.0,0.0,0.0,0.0
0.0,1,8,0.0,0.0,0.08622835497835497,0.05382671393471021,0.0,0.0,0.59375,0.09374999999999999,2.15,0.36531134796551407,0.0,0.0,0.0,0.0,2.0,2.0
0.0,2,8,0.0,0.0,0.16316964285714286,0.07599028672572673,0.0,0.0,0.53125,0.07376210554401029,1.95,0.2490457980448767,0.0,0.0,0.0,0.0,1.0,5.0
0.0,3,8,0.0,0.0,0.12177522997835498,0.06148801428205751,0.0,0.0,0.5625,0.0625,2.025,0.21746647251166476,0.0,0.0,0.0,0.0,0.0,3.0
0.0,4,8,0.0,0.0,0.14116950757575758,0.0655677262627865,0.0,0.0,0.5625,0.07834789631600109,1.9833333333333334,0.2704346882981557,0.03125,0.03125,0.0,0.0,1.0,4.0
0.0,5,8,0.0,0.0,0.09247835497835498,0.040402328149816855,0.0,0.0,0.71875,0.05664543544843536,2.6166666666666667,0.24421887138969653,0.0,0.0,0.0,0.0,3.0,3.0
0.0,6,8,0.0,0.0,0.15070684523809524,0.062386973072126053,0.0,0.0,0.625,0.0668153104781061,2.1916666666666664,0.24084424921710784,0.0,0.0,0.0,0.0,0.0,4.0
2.0,0,8,0.0,0.0,0.10378787878787879,0.05093802034905469,0.0,0.0,0.875,0.0668153104781061,3.3666666666666667,0.33022358947782493,0.03125,0.03125,0.0,0.0,0.0,0.0
2.0,1,8,0.0,0.0,0.1621212121212121,0.07314964825928646,0.0,0.0,0.5625,0.07834789631600109,2.0083333333333333,0.32960714952177994,0.0,0.0,0.0,0.0,0.0,6.0
2.0,2,8,0.0,0.0,0.13204308712121213,0.059540800885916685,0.0,0.0,0.59375,0.08097480869293328,2.1916666666666664,0.32499999999999996,0.0,0.0,0.0,0.0,0.0,4.0
2.0,3,8,0.0,0.0,0.17084517045454545,0.06712998183378932,0.0,0.0,0.59375,0.04574531591946249,2.1,0.17593288763724915,0.0,0.0,0.0,0.0,0.0,6.0
2.0,4,8,0.0625,0.0625,0.20031622023809526,0.09893976011982701,0.125,0.125,0.46875,0.05664543544843536,1.7333333333333334,0.198005932250398,0.0,0.0,0.0,2.0,1.0,7.0
2.0,5,8,0.0,0.0,0.16286695075757576,0.07063910291318916,0.0,0.0,0.59375,0.08097480869293328,2.2416666666666667,0.31570970692650396,0.0,0.0,0.0,0.0,0.0,5.0
2.0,6,8,0.0,0.0,0.13998579545454545,0.05689298194020993,0.0,0.0,0.6875,0.0625,2.4833333333333334,0.27480151567244493,0.0,0.0,0.0,0.0,1.0,2.0
