rho,round,n,mean_accuracy_mean,mean_accuracy_se,mean_fitness_mean,mean_fitness_se,pass_at_4_mean,pass_at_4_se,distinct_fraction_mean,distinct_fraction_se,effective_answers_mean,effective_answers_se,invalid_fraction_mean,invalid_fraction_se,regressions,recoveries,fitness_regressions,fitness_improvements
-6.0,0,62,0.012096774193548387,0.008957084049405942,0.07487358692382515,0.016776584772906313,0.03225806451612903,0.022622157203815375,0.9193548387096774,0.021336704121488633,3.609677419354839,0.0986881074720848,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0
-6.0,1,62,0.0,0.0,0.04550401704894682,0.011105218219379485,0.0,0.0,0.6491935483870968,0.023324100498096557,2.3301075268817204,0.09116861371939317,0.0,0.0,0.0,0.0,18.0,19.0
-6.0,2,62,0.0,0.0,0.035235732310411584,0.011039647120871942,0.0,0.0,0.5604838709677419,0.022031211237851022,1.9838709677419355,0.08446783511269586,0.012096774193548387,0.012096774193548387,0.0,0.0,5.0,11.0
-6.0,3,62,0.0,0.0,0.033350230263644996,0.011377742548894154,0.0,0.0,0.5443548387096774,0.02667212934415917,1.9946236559139785,0.10090720037423173,0.016129032258064516,0.016129032258064516,0.0,0.0,4.0,3.0
-6.0,4,62,0.0,0.0,0.033637544486355433,0.010585341422541823,0.0,0.0,0.5604838709677419,0.024177017091427493,2.0064516129032257,0.08961217439696044,0.020161290322580645,0.01442809252142002,0.0,0.0,4.0,8.0
-6.0,5,62,0.0,0.0,0.02698309228272721,0.00982083944884244,0.0,0.0,0.5524193548387096,0.02643120189922704,2.044086021505376,0.09648555580664021,0.016129032258064516,0.011311078601907687,0.0,0.0,14.0,6.0
-6.0,6,62,0.0,0.0,0.02565173616499827,0.009871848324716815,0.0,0.0,0.5,0.024391050018278897,1.8290322580645162,0.08618847271972933,0.036290322580645164,0.018040195250707398,0.0,0.0,1.0,7.0
-2.0,0,62,0.012096774193548387,0.008957084049405942,0.07487358692382515,0.016776584772906313,0.03225806451612903,0.022622157203815375,0.9193548387096774,0.021336704121488633,3.609677419354839,0.0986881074720848,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0
-2.0,1,62,0.016129032258064516,0.016129032258064516,0.07912131852851986,0.020598281683384387,0.016129032258064516,0.016129032258064516,0.625,0.024221075473469092,2.3053763440860218,0.09509441731247793,0.004032258064516129,0.004032258064516129,0.0,1.0,14.0,30.0
-2.0,2,62,0.020161290322580645,0.016561172815601925,0.06488447237676365,0.020427678349620476,0.03225806451612903,0.022622157203815375,0.5766129032258065,0.021958500771417658,2.029032258064516,0.08178082787596294,0.0,0.0,0.0,1.0,11.0,10.0
-2.0,3,62,0.020161290322580645,0.016561172815601925,0.0662561221223615,0.020752973298038647,0.03225806451612903,0.022622157203815375,0.5483870967741935,0.02359112484076634,1.9451612903225806,0.08528249898181524,0.0,0.0,0.0,0.0,7.0,12.0
-2.0,4,62,0.016129032258064516,0.016129032258064516,0.060361277323638614,0.01996534994230069,0.016129032258064516,0.016129032258064516,0.4637096774193548,0.022151864994568414,1.6666666666666665,0.07486988537182111,0.0,0.0,0.0,0.0,13.0,8.0
